seqnames	start	end	id	score	strand	MCF10A_CTCF_random100.narrowPeak	MCF10AT1_CTCF_random100.narrowPeak	MCF10CA1_CTCF_random100.narrowPeak	cluster_id
chr12	112855436	112855768	69	0	.	TRUE	FALSE	FALSE	4
chr13	39016800	39017214	70	0	.	TRUE	TRUE	TRUE	5
chr13	71477528	71478192	71	0	.	TRUE	TRUE	TRUE	1
chr13	113947208	113947646	72	0	.	TRUE	TRUE	FALSE	3
chr14	35413220	35413947	73	0	.	TRUE	TRUE	TRUE	2
chr14	63632787	63633299	74	0	.	TRUE	TRUE	TRUE	3
chr14	69287638	69288369	75	0	.	TRUE	FALSE	TRUE	1
chr14	91177213	91177771	76	0	.	TRUE	TRUE	TRUE	6
chr14	105537604	105538321	77	0	.	TRUE	FALSE	FALSE	6
chr15	40030020	40030785	78	0	.	TRUE	TRUE	TRUE	6
chr15	51649873	51650312	79	0	.	TRUE	TRUE	TRUE	3
chr15	57559516	57560221	80	0	.	TRUE	TRUE	TRUE	1
chr15	68783509	68784015	81	0	.	TRUE	FALSE	FALSE	6
chr16	2838829	2839264	82	0	.	TRUE	FALSE	FALSE	3
chr16	28739830	28740396	83	0	.	TRUE	TRUE	FALSE	2
chr16	46554119	46554766	84	0	.	TRUE	TRUE	TRUE	1
chr16	68510242	68510779	85	0	.	TRUE	FALSE	FALSE	5
chr16	85347132	85347579	86	0	.	TRUE	FALSE	FALSE	6
chr18	2541943	2542324	87	0	.	TRUE	TRUE	TRUE	5
chr18	24488698	24489501	88	0	.	TRUE	TRUE	TRUE	5
chr18	42028128	42028654	89	0	.	TRUE	TRUE	TRUE	6
chr18	47772532	47773065	90	0	.	TRUE	TRUE	TRUE	3
chr18	61901238	61901907	91	0	.	TRUE	TRUE	TRUE	4
chr19	1788601	1789134	92	0	.	TRUE	FALSE	FALSE	6
chr20	18413205	18413520	93	0	.	TRUE	FALSE	FALSE	4
chr20	39268698	39269390	94	0	.	TRUE	TRUE	FALSE	1
chr20	41734190	41735058	95	0	.	TRUE	TRUE	TRUE	3
chr20	43409219	43410021	96	0	.	TRUE	TRUE	TRUE	2
chr20	63308939	63310126	97	0	.	TRUE	FALSE	FALSE	1
chr22	50241012	50241536	98	0	.	TRUE	TRUE	TRUE	3
chrX	22748377	22749058	99	0	.	TRUE	TRUE	TRUE	2
chrX	138127901	138128652	100	0	.	TRUE	TRUE	FALSE	5
