seqnames	start	end	id	score	strand	MCF10A_CTCF_R1.A	MCF10CA1_CTCF_R1.A	MCF10AT1_CTCF_R1.A	cluster_id
chr11	76680754	76681353	62	0	.	0.0100334448160535	0.00761152326813759	0.00618116430658575	5
chr11	77191838	77192437	63	0	.	0.0202300350762705	0.0178244532228538	0.00966509327938863	1
chr11	134725892	134726491	64	0	.	0.00334448160535117	0.0048174197899605	0.00101146325016858	6
chr12	5073736	5074335	65	0	.	0.00603638143404845	0.00173427112438578	0.00516970105641717	5
chr12	44774649	44775248	66	0	.	0.00880985398482748	0.0131997302244918	0.00966509327938863	6
chr12	102769482	102770081	67	0	.	0.004323354270332	0.00327584545717314	0.00337154416722859	5
chr12	109433626	109434225	68	0	.	0.00195774532996166	0.00356489064457077	0.00449539222297145	3
chr12	112855302	112855901	69	0	.	0.00383391793784159	0.00308314866557472	0.00337154416722859	4
chr13	39016707	39017306	70	0	.	0.00815727220817359	0.00645534251854707	0.00561924027871432	5
chr13	71477560	71478159	71	0	.	0.00416020882616853	0.00693708449754312	0.00730501236232861	1
chr13	113947127	113947726	72	0	.	0.00880985398482748	0.00780422005973601	0.00899078444594291	3
chr14	35413284	35413883	73	0	.	0.00742311770943796	0.00953849118412178	0.00944032366824005	2
chr14	63632743	63633342	74	0	.	0.00946243576148136	0.00751517487233838	0.0103394021128343	3
chr14	69287704	69288303	75	0	.	0.00677053593278408	0.00501011658155892	0.00292200494493145	1
chr14	91177192	91177791	76	0	.	0.0108491720368709	0.0129106850370941	0.0118004045853001	6
chr14	105537663	105538262	77	0	.	0.00725997226527449	0.00317949706137393	0.00179815688918858	6
chr15	40030103	40030702	78	0	.	0.0131332082551595	0.00751517487233838	0.0118004045853001	6
chr15	51649793	51650392	79	0	.	0.00946243576148136	0.00924944599672416	0.0106765565295572	3
chr15	57559569	57560168	80	0	.	0.0111754629251978	0.00982753637151941	0.0159586423915487	1
chr15	68783462	68784061	81	0	.	0.00897299942899095	0.00549185856055497	0.00427062261182288	6
chr16	2838747	2839346	82	0	.	0.0179459988579819	0.00346854224877156	0.00236008091706001	3
chr16	28739813	28740412	83	0	.	0.0207194714087609	0.0131033818286926	0.0134861766689144	2
chr16	46554143	46554742	84	0	.	0.0196590260216983	0.0120435494749012	0.0106765565295572	1
chr16	68510211	68510810	85	0	.	0.0052206542132311	0.00154157433278736	0.0032591593616543	5
chr16	85347056	85347655	86	0	.	0.0181907170242271	0.00067443877059447	0.00269723533378287	6
chr18	2541834	2542433	87	0	.	0.00603638143404845	0.00741882647653917	0.0091031692515172	5
chr18	24488800	24489399	88	0	.	0.0109307447589526	0.00982753637151941	0.0107889413351315	5
chr18	42028091	42028690	89	0	.	0.0135410718655682	0.0103092783505155	0.0132614070577658	6
chr18	47772499	47773098	90	0	.	0.0143567990863855	0.0184988919934483	0.0179815688918858	3
chr18	61901273	61901872	91	0	.	0.0222693531283139	0.0220637826380191	0.0250618116430659	4
chr19	1788568	1789167	92	0	.	0.00285504527286076	0.00308314866557472	0.00179815688918858	6
chr20	18413063	18413662	93	0	.	0.00774940859776491	0.00973118797572021	0.0066307035288829	4
chr20	39268744	39269343	94	0	.	0.0119096174239334	0.00703343289334233	0.0148347943358058	1
chr20	41734324	41734923	95	0	.	0.0176197079696549	0.0298680026977551	0.0230388851427287	3
chr20	43409320	43409919	96	0	.	0.00766783587568317	0.0162828788900665	0.0123623286131715	2
chr20	63309233	63309832	97	0	.	0.00872828126274574	0.00944214278832257	0.00382108338952574	1
chr22	50240974	50241573	98	0	.	0.0173749898034097	0.016957317660661	0.0206788042256687	3
chrX	22748418	22749017	99	0	.	0.012970062810996	0.0143559109740823	0.0115756349741515	2
chrX	138127977	138128576	100	0	.	0.00709682682111102	0.00433567781096445	0.00561924027871432	5
